id;start_date;end_date;language
1;2024-10-25T08:40:47;2024-10-24T14:46:25;SPANISH
2;2024-10-24T16:43:54;2024-10-24T19:48:30;ENGLISH
3;2024-10-24T16:50:33;2024-10-24T16:57:49;FRENCH
4;2024-10-25T08:07:19;2024-10-25T05:14:04;SPANISH
5;2024-10-25T00:31:55;2024-10-25T04:03:30;FRENCH
6;2024-10-24T17:57:55;2024-10-25T00:22:07;SPANISH
7;2024-10-24T19:44:42;2024-10-25T11:27:53;ENGLISH
8;2024-10-25T06:33:15;2024-10-24T16:48:02;SPANISH
9;2024-10-25T12:01:29;2024-10-25T02:32:05;ENGLISH
10;2024-10-24T16:07:09;2024-10-25T01:04:14;FRENCH
