id;street_address;postal_code;city;state_province
1;softly however unless;coal kinase phooey;Collierville;knowingly polite
2;retention zowie now;phew throughout well-lit;Dooleyfield;hidden times ouch
3;mobility mozzarella;meh oddly;East Santos;beneath how
4;commercial absent;masterpiece boulevard;West Darryltown;that
5;seemingly finally duh;inside nerve;Palm Beach Gardens;excepting shy
6;bustling;so;Olathe;wherever quizzically
7;loudly although;excluding skateboard mysteriously;Leviworth;afterwards well
8;since;because instead;Balistreristad;however glimmer gadzooks
9;ride;engage er;Ivorycester;seriously courageously now
10;unlike soggy;elegantly;North Margarete;geez
